Aa,Ab,Ac,Ad,Ae,Af,ST01,SU02,D03,ST04,SU05,D06,D07,SU08,ST09,SU10,D11,ST12,SU13,D14,D15,SU16,ST17,SU18,D19,ST20,SU21,D22,D23,SU24,ST25,SU26,D27,ST28,SU29,D30,D31,SU32,Ca,Cb,Cc,Cd,Ce,Cf,Cg,Ch,Da,Db,Dc,Dd,De,Df,Dg,Dh,Di,Dj,Age,Attitude,Points,gender,deep,surf,stra
3,1,1,1,1,1,2,2,4,2,3,4,3,3,2,2,3,4,4,3,3,2,3,3,3,2,2,3,4,2,4,4,4,2,3,5,5,5,2,4,3,3,4,3,3,4,3,5,5,3,4,2,4,3,2,5,20,36,18,F,3.6666666666666665,2.9166666666666665,2.625
1,1,2,1,1,1,4,2,5,2,2,4,4,2,2,1,4,2,2,4,4,1,2,1,4,2,2,5,4,2,4,4,4,2,2,5,5,4,2,4,4,3,5,2,5,4,2,4,4,5,4,2,3,5,4,4,22,37,17,M,4.333333333333333,2.0833333333333335,2.5
4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,4,5,3,4,4,5,5,5,4,3,4,3,4,4,3,4,4,5,5,5,5,5,1,5,1,5,5,21,42,23,M,3.75,3.6666666666666665,3.75
3,1,1,1,1,1,4,4,5,3,2,3,4,1,4,2,5,4,1,5,3,2,3,4,4,4,3,4,4,4,5,4,4,2,2,4,5,5,3,5,5,4,5,3,5,3,3,4,3,4,3,2,3,2,4,4,21,32,26,M,4.166666666666667,2.8333333333333335,3.625
2,1,1,1,1,1,5,5,5,4,4,4,4,1,5,4,5,5,3,4,3,3,5,3,5,4,2,3,4,4,1,5,5,4,2,3,3,5,1,1,1,1,1,4,1,1,5,5,5,5,5,5,5,5,5,5,20,50,28,F,4,3.4166666666666665,4.125
3,1,2,1,1,1,4,1,5,4,2,5,5,1,5,1,4,4,1,4,4,2,4,1,4,5,1,3,4,2,5,2,4,4,1,2,4,4,2,5,4,4,4,3,4,2,4,5,5,5,5,4,4,5,5,5,22,47,31,M,4,1.5833333333333333,4.375
3,2,3,1,1,1,3,5,5,4,5,4,5,2,2,2,5,3,3,4,4,2,3,4,5,2,2,3,5,2,2,3,5,2,2,5,5,3,1,5,4,5,4,3,4,3,4,4,4,5,4,2,3,2,4,4,20,36,27,F,4.583333333333333,2.9166666666666665,2.625
3,1,2,1,1,1,4,2,4,4,3,2,4,2,5,2,4,3,3,4,2,4,4,2,4,3,2,2,4,4,5,5,5,4,2,4,5,5,3,5,5,5,3,3,4,4,4,5,5,5,5,1,3,1,2,5,20,36,25,F,3.6666666666666665,3,4
4,3,4,3,4,3,4,5,4,3,2,3,4,2,3,1,3,1,5,5,2,2,2,3,4,3,1,4,2,2,4,5,3,2,4,5,5,3,4,4,3,4,4,2,3,5,2,5,4,3,2,2,3,2,3,3,24,29,23,M,3.6666666666666665,2.9166666666666665,2.75
1,1,1,1,1,1,4,2,5,5,1,3,5,2,4,4,4,2,3,5,4,2,3,2,4,1,3,2,3,2,2,5,4,1,2,4,3,4,2,5,5,4,5,2,4,4,2,5,4,5,4,2,3,2,4,4,20,35,21,F,3.8333333333333335,2.6666666666666665,2.75
4,3,2,2,1,2,2,3,4,2,2,3,2,4,1,2,3,1,4,3,4,4,2,4,2,1,1,2,2,3,1,4,2,1,1,2,2,4,2,4,3,3,3,3,4,4,4,4,5,4,4,4,5,4,3,3,19,40,27,F,2.5833333333333335,3,1.375
3,2,2,1,1,1,4,3,4,2,4,3,4,3,2,2,4,2,2,3,2,2,3,2,4,2,2,4,3,4,1,3,4,2,2,3,4,4,3,5,4,3,3,4,4,3,2,4,4,5,3,2,3,3,4,5,21,35,28,F,3.5,2.75,2.25
2,1,1,2,1,1,3,3,3,4,4,2,2,2,4,3,4,4,2,4,2,3,4,4,4,2,2,2,4,3,4,5,4,4,1,3,3,5,5,5,5,5,5,3,3,4,3,3,2,5,3,2,1,5,5,3,21,32,23,F,3.0833333333333335,3.0833333333333335,3.625
2,1,2,1,1,1,5,1,5,4,4,4,5,2,3,1,5,3,2,4,4,3,3,1,2,4,2,4,4,2,5,5,4,3,2,5,5,5,2,5,3,3,4,4,4,5,2,4,4,3,2,1,1,2,3,4,22,26,21,F,4.25,2.5,3.75
4,2,2,1,2,2,4,1,5,4,4,2,2,2,4,2,5,4,1,2,2,2,4,1,4,2,2,1,4,2,5,5,5,5,1,2,4,5,2,5,4,5,5,2,4,4,2,4,1,4,1,1,1,1,1,4,25,20,25,F,3.1666666666666665,2.3333333333333335,4
2,1,2,2,1,2,4,2,4,4,5,3,4,2,2,1,4,4,2,4,2,4,3,1,2,2,4,3,2,4,4,5,2,2,3,3,4,3,2,4,3,2,5,4,5,3,2,4,3,2,3,1,3,2,2,5,21,27,11,F,3.0833333333333335,3,3.125
2,1,1,2,2,1,4,4,4,4,2,4,4,3,2,2,4,4,2,5,4,3,2,2,5,2,4,4,4,2,4,4,4,4,3,4,4,5,4,5,4,3,4,2,4,4,3,4,4,4,4,2,3,2,2,4,22,32,19,F,4.166666666666667,3,3.25
1,2,2,2,2,2,2,4,3,2,5,2,1,2,4,4,3,1,4,2,2,4,4,4,4,1,4,2,2,4,2,5,2,1,3,2,2,5,5,3,4,5,5,2,2,5,3,4,5,3,5,1,4,1,2,5,25,33,24,F,2.25,4,2.125
4,1,3,2,1,1,4,4,5,3,2,3,4,2,3,2,3,2,3,4,3,2,3,4,3,2,4,2,2,4,4,4,4,2,3,3,4,5,4,4,3,2,5,3,3,3,4,4,4,4,4,3,4,4,4,4,20,39,28,F,3.3333333333333335,3.25,2.875
3,2,2,2,1,1,2,5,2,1,4,3,3,3,1,4,4,2,4,3,4,3,2,3,3,2,2,2,2,3,1,5,3,1,3,4,4,3,3,2,2,2,3,3,2,1,3,3,4,3,4,2,4,3,2,5,24,33,21,M,3.0833333333333335,3.5,1.5
2,2,1,1,1,1,3,4,3,3,4,3,3,4,4,3,3,2,3,3,2,4,3,2,3,1,3,2,2,4,2,4,3,2,3,3,3,4,4,4,3,4,5,2,3,4,3,3,4,4,4,2,3,2,2,3,20,30,24,F,2.75,3.5,2.5
2,2,3,1,1,2,4,1,4,3,4,4,4,4,4,2,2,4,5,3,2,4,3,4,4,2,3,3,4,5,4,5,2,2,4,4,3,5,3,3,4,5,3,2,4,4,4,4,4,4,4,2,4,5,3,3,21,37,24,M,3.25,3.8333333333333335,3.25
3,2,2,1,1,1,4,2,4,3,3,5,4,3,4,1,4,4,3,4,3,3,5,1,5,4,3,4,3,4,2,4,4,3,3,3,5,5,4,5,4,4,5,3,3,3,3,4,3,1,3,1,3,2,1,4,20,25,20,F,4,2.9166666666666665,3.625
2,2,1,1,1,2,4,2,4,4,2,3,4,2,4,1,3,3,1,4,2,3,3,1,4,5,1,4,4,2,4,5,4,4,1,3,4,5,2,4,4,3,4,1,3,4,2,3,3,4,4,1,3,2,4,3,20,29,19,F,3.5833333333333335,2.1666666666666665,3.875
4,1,1,1,1,1,4,1,4,3,2,4,5,1,4,1,4,5,2,5,3,1,3,1,4,4,2,5,3,1,4,2,4,4,2,4,4,4,3,5,4,4,5,5,5,4,3,5,4,3,4,3,3,5,4,5,31,39,30,M,4.083333333333333,1.6666666666666667,3.875
4,1,1,1,1,1,2,1,5,2,3,4,5,2,4,1,4,2,2,5,3,3,2,1,4,2,3,4,3,2,3,2,5,2,2,4,5,3,3,5,4,4,3,4,5,4,2,5,5,5,5,1,3,2,3,5,20,36,22,F,4.25,2.0833333333333335,2.375
3,2,3,2,1,1,4,1,4,4,4,3,4,3,4,1,4,3,2,5,3,4,3,1,5,1,3,3,2,4,3,5,3,2,2,3,2,4,2,4,3,2,4,1,3,3,2,4,2,4,2,2,2,5,2,4,22,29,16,F,3.4166666666666665,2.8333333333333335,3
5,1,2,1,1,2,4,2,4,4,4,2,3,2,4,3,2,2,4,4,2,4,4,2,4,3,4,4,2,4,4,4,2,2,4,4,4,4,2,4,3,4,4,2,3,4,2,2,2,1,2,2,2,2,2,4,22,21,16,F,3.0833333333333335,3.4166666666666665,3.375
4,2,2,2,2,2,3,4,4,2,4,3,4,4,2,2,3,4,4,4,4,3,3,2,3,3,2,3,3,4,3,3,3,2,3,4,4,5,3,4,4,4,5,3,4,5,2,3,4,3,3,2,3,4,3,4,21,31,19,M,3.5,3.3333333333333335,2.75
3,1,1,1,1,1,5,2,4,4,2,3,2,2,4,2,4,4,4,4,4,2,5,1,2,5,2,4,4,2,5,5,4,4,2,4,5,5,1,4,4,2,4,2,4,2,4,4,5,4,5,2,3,5,4,4,22,40,30,M,3.6666666666666665,2.5833333333333335,4.5
4,1,2,1,1,1,4,1,5,4,3,3,5,4,4,1,5,2,2,5,4,4,3,1,4,1,4,5,4,4,1,4,3,2,2,4,4,4,4,5,4,4,4,5,5,2,2,5,4,1,4,2,2,4,2,5,21,31,23,F,4.25,2.8333333333333335,2.625
3,2,2,1,1,1,2,3,5,3,4,4,5,4,3,2,4,2,2,5,4,4,4,2,4,1,2,4,4,4,5,5,4,2,3,4,4,5,4,5,3,4,5,1,5,4,2,3,4,1,3,1,3,1,1,4,21,23,19,F,4.25,3.3333333333333335,2.75
2,2,2,1,1,1,3,3,5,3,3,3,4,4,4,2,4,3,2,5,4,5,5,1,4,2,2,3,3,3,4,5,5,2,2,3,3,4,3,4,4,5,5,2,4,3,2,3,2,5,2,3,2,3,3,3,21,28,18,F,3.8333333333333335,3,3.25
5,1,1,1,1,1,5,3,5,5,2,3,4,2,5,5,5,5,1,5,5,4,1,4,5,2,1,5,5,2,5,5,5,5,1,1,5,1,5,1,1,5,1,1,1,1,3,5,5,4,5,1,2,5,2,5,21,37,28,F,4.416666666666667,2.5833333333333335,4.125
3,1,3,2,1,1,4,2,4,2,2,3,4,2,4,2,4,2,2,4,3,2,4,1,3,2,2,2,4,2,5,5,4,4,2,3,4,5,4,4,4,2,5,2,3,4,3,4,4,1,4,1,2,2,2,3,20,26,21,F,3.5,2.4166666666666665,3.375
2,1,1,1,1,1,4,2,5,2,5,4,5,2,2,4,4,4,2,5,1,4,3,1,5,4,5,2,2,4,1,5,2,2,5,4,4,4,4,5,2,4,4,4,4,3,2,4,4,1,4,1,2,1,1,4,21,24,19,F,3.5833333333333335,3.5833333333333335,2.75
3,1,2,1,1,1,5,1,4,4,2,4,4,1,4,1,4,4,2,4,2,2,3,1,5,4,2,2,3,2,5,4,4,4,2,4,4,5,4,4,4,4,4,3,5,5,4,4,4,2,4,1,4,2,1,4,25,30,27,F,3.6666666666666665,2.0833333333333335,4.125
3,2,1,1,1,1,4,4,3,2,3,2,2,5,4,5,2,3,4,2,2,5,4,2,3,3,5,1,2,5,2,5,2,4,4,2,2,5,5,4,2,5,5,1,1,5,3,4,3,2,3,2,2,3,2,4,21,28,24,M,2.0833333333333335,4.333333333333333,3.25
3,1,2,1,1,1,3,2,4,3,2,4,4,2,3,2,5,3,2,5,4,4,3,2,5,2,2,5,4,3,4,5,3,2,2,4,4,4,3,5,4,4,5,2,4,4,1,4,4,3,4,1,3,3,2,4,24,29,21,F,4.25,2.6666666666666665,2.875
4,1,2,1,1,1,3,3,4,2,4,3,4,2,3,2,5,4,2,4,2,4,4,1,4,2,4,3,2,2,4,4,4,1,3,4,4,5,5,5,4,3,5,2,3,5,2,3,2,4,2,2,1,3,4,1,20,24,20,F,3.5833333333333335,3,2.875
4,3,4,5,4,5,3,1,5,3,4,4,4,2,3,2,4,3,2,4,2,4,2,1,4,2,2,4,4,4,1,4,4,2,1,4,5,5,5,5,3,3,4,3,5,4,2,4,4,3,4,2,3,3,2,4,21,31,28,M,4,2.6666666666666665,2.375
3,2,2,1,1,1,4,1,4,4,3,3,4,2,4,1,4,4,2,4,4,2,3,1,3,4,3,4,2,1,5,5,3,3,2,4,1,3,3,4,4,4,4,4,4,3,1,2,3,2,4,1,1,1,1,3,20,19,12,F,3.3333333333333335,2.1666666666666665,3.875
3,4,3,2,1,1,4,3,4,1,2,2,4,3,4,2,4,2,2,5,4,3,2,1,4,2,3,2,1,2,1,5,4,1,3,4,4,3,1,4,4,3,4,2,5,2,2,3,1,2,1,2,1,5,1,2,20,20,21,F,3.5,2.6666666666666665,2.125
3,2,2,2,1,2,5,1,4,4,2,2,4,1,4,1,3,4,3,4,2,3,3,1,4,4,4,2,2,2,5,3,4,3,2,3,4,4,4,4,4,4,3,3,4,4,3,4,4,5,4,2,4,3,4,5,18,38,28,F,3.1666666666666665,2.25,4
3,2,2,3,1,2,4,3,4,4,2,2,4,2,4,2,4,3,2,4,3,2,3,2,4,2,4,3,4,2,5,4,3,1,3,4,4,4,2,5,5,5,5,3,4,2,3,4,4,5,3,1,4,2,4,4,21,34,31,F,3.5833333333333335,2.6666666666666665,3.25
4,1,1,1,1,1,3,4,4,2,4,4,3,2,3,4,4,2,3,4,2,4,2,2,3,3,1,3,3,4,5,5,3,1,2,4,4,5,3,4,4,3,5,3,4,5,1,4,4,5,4,4,2,4,5,4,19,37,18,F,3.4166666666666665,3.3333333333333335,2.625
4,1,2,1,1,1,4,5,5,3,4,3,5,3,3,4,5,3,1,5,3,1,4,5,4,2,2,5,4,3,2,5,5,1,5,5,2,4,4,5,3,5,5,4,4,5,3,4,4,3,4,1,2,2,3,3,21,29,25,F,4.25,3.5,2.75
2,3,3,1,1,2,4,2,5,4,3,2,3,2,4,1,4,4,3,3,4,3,4,1,4,3,2,2,4,4,5,5,2,4,3,2,4,4,2,4,3,4,4,2,2,4,2,4,2,4,2,1,2,1,1,4,20,23,19,F,3.25,2.75,4
2,1,2,1,1,1,3,2,4,3,4,5,4,1,4,1,4,3,2,5,4,1,2,1,4,2,2,4,4,2,4,2,5,3,2,5,5,4,4,4,3,5,5,4,5,5,4,4,5,4,4,3,4,4,4,5,21,41,21,M,4.416666666666667,2,3
4,3,2,2,1,1,4,3,4,4,3,3,4,2,2,2,3,2,2,4,3,3,4,1,3,2,2,3,3,4,5,4,3,4,3,3,3,5,3,4,4,3,4,4,3,4,2,4,3,3,3,1,2,2,3,4,20,27,16,F,3.25,2.8333333333333335,3.375
2,1,2,3,1,1,4,5,5,4,3,4,5,5,4,1,4,2,2,4,2,5,3,5,4,4,2,2,4,5,5,1,4,5,3,4,5,5,5,5,4,5,5,3,4,4,1,5,5,4,5,1,3,2,4,5,21,35,7,F,3.9166666666666665,3.5,3.875
4,2,3,1,2,2,4,3,4,2,1,4,4,2,3,1,4,4,2,4,4,2,4,1,3,1,4,3,4,3,5,5,4,3,2,3,2,4,5,5,4,4,5,4,4,2,4,5,3,2,4,2,3,4,2,5,20,34,21,F,3.5833333333333335,2.5,3.25
3,2,3,1,1,1,4,5,5,4,3,3,5,2,4,1,5,2,2,5,5,3,4,4,5,2,2,4,3,4,5,4,4,2,3,5,5,5,3,5,4,4,4,4,5,3,2,5,4,4,4,1,3,2,2,5,18,32,17,F,4.5,3.1666666666666665,3.375
2,3,2,2,1,2,4,1,5,3,2,3,2,4,3,3,4,5,4,4,3,3,5,1,3,5,4,3,4,4,5,5,3,3,1,4,5,5,5,4,3,5,5,3,4,5,3,4,4,3,2,4,2,5,3,3,22,33,22,M,3.5833333333333335,3.0833333333333335,4.125
4,1,2,1,1,1,4,2,5,4,4,3,4,3,4,2,4,4,3,4,3,4,3,1,2,3,3,3,4,3,4,3,4,2,3,4,4,4,4,3,3,4,5,3,4,3,2,4,3,4,2,3,3,5,3,4,22,33,18,F,3.6666666666666665,2.9166666666666665,3.5
3,2,2,3,1,1,2,3,3,2,3,2,2,4,3,3,2,1,3,3,4,5,2,2,3,1,1,1,2,5,4,5,1,1,2,5,3,2,2,5,3,5,3,2,3,4,2,3,4,5,3,3,3,5,4,3,24,35,25,M,2.5833333333333335,3.1666666666666665,2
2,1,1,1,1,1,2,2,4,4,3,3,5,2,4,1,4,4,3,5,4,2,3,2,4,4,1,4,4,2,5,4,4,3,3,4,5,5,4,5,4,3,5,3,5,4,2,4,4,4,4,2,3,3,2,4,19,32,24,F,4.166666666666667,2.5,3.625
3,1,2,1,1,1,4,3,4,4,4,3,3,4,4,3,4,2,4,4,2,4,3,3,3,2,4,2,3,5,5,5,4,3,3,3,4,4,5,4,4,5,5,3,3,5,3,3,4,4,3,1,3,2,4,4,20,31,23,F,3.25,3.8333333333333335,3.375
5,1,2,1,1,1,2,4,5,2,2,4,4,2,2,1,5,1,2,4,5,2,2,4,4,2,1,4,4,2,4,4,4,2,2,5,4,1,1,5,4,4,2,2,5,2,2,4,2,4,2,2,2,4,4,2,20,28,23,F,4.333333333333333,2.25,2.125
3,1,3,3,1,1,5,3,5,5,5,3,5,2,4,4,3,4,4,5,2,2,4,1,3,5,5,5,4,2,5,5,3,5,5,5,4,3,3,5,4,5,5,1,4,2,1,1,2,3,3,1,2,1,1,2,17,17,26,F,3.9166666666666665,3.4166666666666665,4.625
4,3,4,2,2,4,5,5,3,3,4,3,4,5,3,2,2,3,2,2,3,5,3,1,2,1,4,4,2,4,1,4,1,1,4,4,2,5,5,4,4,5,5,3,3,5,1,3,3,1,3,1,2,1,1,3,19,19,12,M,2.6666666666666665,3.75,2.5
2,2,2,1,1,1,4,2,5,2,2,3,3,4,3,3,2,3,2,3,3,4,3,2,3,2,2,2,3,4,4,5,3,2,2,3,4,4,4,3,3,3,4,2,4,4,4,4,3,5,3,3,1,4,4,4,20,35,32,F,3.0833333333333335,3,2.875
3,1,2,1,1,1,3,2,5,2,3,3,5,3,2,1,5,2,2,5,4,3,4,1,2,2,2,4,2,4,3,4,3,4,2,3,4,4,1,1,3,3,1,4,2,3,1,3,2,4,2,1,2,2,4,3,20,24,22,F,3.75,2.5833333333333335,2.75
3,1,1,2,1,1,3,1,4,4,4,3,5,3,4,2,5,4,2,5,5,4,4,3,2,3,4,5,5,4,5,5,5,5,4,5,1,4,4,4,3,4,2,2,4,4,2,2,4,3,2,1,3,1,1,2,20,21,20,F,4.166666666666667,3.3333333333333335,4
4,1,2,1,1,1,2,4,5,2,2,4,4,2,2,1,5,1,2,4,4,2,5,2,5,1,4,3,2,4,5,4,4,1,2,5,5,5,2,4,3,3,5,2,4,4,1,4,4,4,4,1,1,4,2,4,20,29,21,F,4.166666666666667,2.8333333333333335,2.375
3,2,1,1,1,1,5,1,4,3,5,3,3,2,4,1,4,3,3,3,3,3,3,1,5,3,4,1,3,3,5,5,3,5,3,2,5,5,3,4,3,5,5,3,4,3,1,4,1,3,1,1,1,1,2,4,19,19,23,F,3.25,3,3.875
4,1,1,1,1,1,5,2,5,5,4,4,5,2,5,2,5,2,3,5,4,2,2,1,4,2,2,3,3,4,4,5,3,2,2,4,4,5,4,4,4,2,5,3,4,4,2,4,2,1,2,1,2,1,1,4,19,20,20,F,4.083333333333333,2.8333333333333335,3.375
4,1,3,3,2,2,2,4,4,2,2,2,2,2,3,1,4,1,4,4,4,4,2,2,2,2,2,1,2,4,1,5,2,1,3,4,4,5,2,4,2,4,5,3,4,5,4,4,4,5,4,4,4,5,4,4,22,42,28,F,2.9166666666666665,3.1666666666666665,1.75
4,3,2,2,2,1,3,5,4,2,3,3,4,1,4,2,4,4,2,4,3,4,2,2,5,2,3,4,4,3,5,2,3,2,2,4,4,4,2,4,4,3,3,3,4,4,2,4,5,5,5,1,5,5,5,4,35,41,31,M,3.8333333333333335,2.75,3
3,1,2,2,1,2,4,2,5,4,2,2,4,2,2,4,4,1,2,4,4,4,4,5,4,1,4,2,2,4,4,5,2,1,2,1,4,5,2,4,5,4,5,4,5,5,2,5,5,4,4,2,4,2,4,5,18,37,18,F,3.1666666666666665,3.4166666666666665,2.625
3,2,2,1,1,1,4,2,5,4,4,4,4,2,3,2,4,2,2,4,2,3,3,2,4,1,4,3,2,4,2,3,3,2,3,2,4,5,5,5,4,5,5,2,3,4,4,4,4,4,4,2,3,4,4,3,19,36,30,F,3.4166666666666665,3,2.625
4,1,2,1,1,1,5,2,5,4,2,4,5,4,4,3,5,4,2,4,5,3,3,1,2,3,2,3,4,3,2,5,2,2,1,5,5,4,3,5,4,4,5,3,4,4,2,3,1,3,1,1,1,1,2,3,21,18,19,M,4.083333333333333,2.6666666666666665,3.375
